@relation '264019L1 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lz?y-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R4-precision6'

@attribute 'okres w jakim bêdzie pobiera³ dochód' numeric
@attribute 'okres w jakim pobiera³ dochód' numeric
@attribute p³eæ {kobieta,mê¿czyzna}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute 'kwota kredytu' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'rodzaj Ÿród³a dochodu' numeric
@attribute 'status pozyczki' {dobry,z?y}

@data
48,42,kobieta,'\'(30.4-42.8]\'',285.97,1,1200,98,dobry
48,83,kobieta,'\'(30.4-42.8]\'',280.11,1,1770,11,dobry
2,1,mê¿czyzna,'\'(42.8-55.2]\'',400,0,2500,99,dobry
48,61,mê¿czyzna,'\'(55.2-67.6]\'',500,1,1250,11,dobry
48,61,kobieta,'\'(42.8-55.2]\'',200,1,749.28,16,dobry
48,127,kobieta,'\'(67.6-inf)\'',400,1,980,16,dobry
48,62,mê¿czyzna,'\'(67.6-inf)\'',300,0,1100,13,z?y
48,5,mê¿czyzna,'\'(-inf-30.4]\'',1000,0,10000,11,z?y
48,51,kobieta,'\'(55.2-67.6]\'',400,0,1977,13,dobry
48,23,kobieta,'\'(55.2-67.6]\'',277.4,1,975,13,dobry
48,429,mê¿czyzna,'\'(55.2-67.6]\'',600,1,3335,11,dobry
48,7,kobieta,'\'(55.2-67.6]\'',300,0,980,98,dobry
48,38,mê¿czyzna,'\'(55.2-67.6]\'',200,0,1742.76,13,z?y
48,77,kobieta,'\'(55.2-67.6]\'',789.27,1,860,13,dobry
48,242,mê¿czyzna,'\'(42.8-55.2]\'',500,0,1700,16,z?y
48,72,kobieta,'\'(67.6-inf)\'',300,0,1401,16,dobry
0,49,kobieta,'\'(42.8-55.2]\'',200,0,1100,99,dobry
48,21,kobieta,'\'(-inf-30.4]\'',377.92,1,1500,11,dobry
48,118,kobieta,'\'(30.4-42.8]\'',500,1,3100,11,dobry
48,118,kobieta,'\'(30.4-42.8]\'',400,1,2700,11,dobry
48,62,kobieta,'\'(55.2-67.6]\'',200,0,750,13,z?y
48,36,kobieta,'\'(55.2-67.6]\'',200,0,784,13,dobry
48,98,mê¿czyzna,'\'(55.2-67.6]\'',300,1,2110,13,dobry
0,2,mê¿czyzna,'\'(55.2-67.6]\'',250,1,685,99,dobry
48,75,mê¿czyzna,'\'(55.2-67.6]\'',300,0,1300,13,dobry
