status pozyczki,rodzaj Ÿród³a dochodu,miesieczny dochod netto,ktore rolowanie,kwota kredytu,wiek,p³eæ,okres w jakim pobiera³ dochód,okres w jakim bêdzie pobiera³ dochód,opóŸnienie sp³aty
windykacja,13,750,0,200,61,kobieta,62,48,5001
splacona_cz,13,784,0,200,60,kobieta,36,48,0
splacona_cz,13,2110,1,300,66,mê¿czyzna,98,48,0
splacona_cz,99,685,1,250,62,mê¿czyzna,2,0,1
splacona_cz,13,1300,0,300,66,mê¿czyzna,75,48,7
splacona_cz,13,1026,1,200,74,kobieta,244,48,0
splacona,13,907,0,200,60,mê¿czyzna,5,48,165
splacona_cz,12,1032.34,1,200,31,kobieta,2,9,0
splacona_cz,11,2353,1,1569.98,48,mê¿czyzna,96,48,8
odmowa,16,540,0,200,40,kobieta,180,48,0
splacona,13,3251,0,600,63,kobieta,135,48,0
splacona_cz,13,1525.46,1,521.49,62,kobieta,33,48,4
windykacja_sp,11,1136.8,1,200,26,mê¿czyzna,6,48,191
splacona_cz,13,3700,1,800,62,kobieta,24,48,0
splacona_cz,13,1538,1,200,63,mê¿czyzna,98,48,0
splacona_cz,13,957.2,0,200,74,mê¿czyzna,194,48,0
splacona,11,1459,1,300,26,mê¿czyzna,6,48,9
splacona_cz,11,3000,1,500,45,kobieta,90,48,4
splacona,13,2100,1,300,72,kobieta,157,48,0
splacona_cz,11,1400,1,200,54,kobieta,114,48,1
splacona_cz,13,2120,1,600,68,kobieta,116,48,3
splacona_cz,12,1027,1,300,39,kobieta,6,48,0
splacona_cz,13,1801.41,1,700,58,kobieta,35,48,0
windykacja,12,1017,1,300,36,mê¿czyzna,54,5,4999
splacona_cz,12,1030,1,200,51,mê¿czyzna,6,48,3
splacona_cz,13,1193.65,0,400,63,mê¿czyzna,6,48,0
splacona,12,2000,2,200,50,kobieta,32,23,0
splacona,11,2000,0,800,46,mê¿czyzna,48,48,0
splacona_cz,13,803.86,1,200,68,kobieta,155,48,0
splacona_cz,13,1412,1,400,73,kobieta,201,48,0
splacona_cz,98,5000,0,600,41,kobieta,81,48,2
splacona_cz,11,1000,1,275.97,41,kobieta,58,48,5
splacona_cz,16,1045,0,200,50,mê¿czyzna,196,48,1
splacona,17,1896,1,500,22,mê¿czyzna,31,2,0
splacona_cz,11,1200,1,300,38,kobieta,187,48,2
splacona,12,1500,0,900,35,mê¿czyzna,30,5,0
splacona,13,1425,1,200,60,kobieta,76,48,1
splacona_cz,16,2300,1,200,55,kobieta,60,48,0
splacona_cz,11,2800,1,400,54,kobieta,57,48,0
splacona_cz,12,1600,1,498.47,31,kobieta,11,0,5
windykacja_sp,13,1674.77,0,200,67,mê¿czyzna,66,48,214
odmowa,13,995,0,300,52,mê¿czyzna,168,48,0
splacona,11,2011,0,500,52,mê¿czyzna,208,48,42
splacona_cz,12,1574.45,0,450,47,mê¿czyzna,28,7,5
odmowa,16,634.64,0,200,51,kobieta,19,48,0
splacona_cz,11,1261.98,1,400,40,mê¿czyzna,33,48,6
splacona_cz,13,1149.06,0,400,60,kobieta,158,48,0
splacona_cz,16,1313.41,1,400,62,mê¿czyzna,25,48,1
splacona,13,1200.29,1,200,62,kobieta,19,48,0
splacona_cz,11,1300,1,326.61,39,mê¿czyzna,42,48,0
splacona,13,985.9,0,200,62,kobieta,87,48,0
splacona_cz,12,660,1,400,40,kobieta,9,29,2
odmowa,17,540.62,0,300,18,mê¿czyzna,3,17,0
splacona_cz,16,755.1,0,200,64,kobieta,131,48,0
odmowa,13,1079.14,0,300,68,mê¿czyzna,115,48,0
splacona_cz,13,1591,1,381.29,66,mê¿czyzna,73,48,0
splacona_cz,13,1162,1,200,62,mê¿czyzna,218,48,0
windykacja_sp,11,1600,1,400,52,mê¿czyzna,265,48,425
splacona_cz,12,700,1,250,40,mê¿czyzna,6,17,0
windykacja,11,1250,1,400,61,mê¿czyzna,103,48,4997
splacona_cz,11,2249.14,1,500,57,kobieta,238,48,7
odmowa,13,1517,0,400,78,kobieta,132,48,0
splacona_cz,13,1013.74,1,400,65,kobieta,110,48,0
splacona_cz,11,1500,0,400,58,kobieta,82,48,0
splacona_cz,12,1675,1,600,54,kobieta,6,5,3
splacona_cz,13,5100,1,700,61,kobieta,25,48,0
odmowa,11,3500,0,1000,41,kobieta,238,48,0
splacona_cz,11,1617.68,0,200,52,kobieta,82,48,2
splacona_cz,16,2300,2,1000,55,kobieta,60,48,0
odmowa,13,601.03,0,300,46,kobieta,302,48,0
splacona_cz,13,1233,0,400,63,kobieta,120,48,0
odmowa,13,940.49,0,400,68,mê¿czyzna,258,48,0
splacona_cz,13,1768.93,1,500,63,mê¿czyzna,266,48,4
splacona_cz,11,3170,1,400,47,kobieta,282,48,4
windykacja,11,1037.34,0,300,24,mê¿czyzna,31,48,4996
splacona,11,1239.05,1,400,39,kobieta,201,48,10
splacona_cz,12,2000,1,396.61,53,kobieta,6,20,3
windykacja,13,814.83,1,300,49,mê¿czyzna,154,48,4996
odmowa,13,832.92,0,200,67,kobieta,136,48,0
splacona_cz,13,951,1,500,73,kobieta,159,48,0
splacona_cz,12,1350,1,281.29,55,kobieta,19,5,0
windykacja,11,1065,1,650,35,kobieta,56,48,4996
odmowa,11,2600,0,650,64,mê¿czyzna,132,48,0
splacona_cz,11,1800,1,600,48,mê¿czyzna,123,48,6
odmowa,11,1037,0,200,22,mê¿czyzna,33,48,0
splacona_cz,16,633.56,1,250,64,mê¿czyzna,108,48,1
windykacja,12,1037,0,200,36,kobieta,1,2,4994
splacona_cz,13,910.33,1,200,73,mê¿czyzna,160,48,1
splacona_cz,13,856,1,200,64,kobieta,54,48,0
splacona,12,1500,1,371.94,53,kobieta,6,1,1
windykacja,11,1300,1,700,27,kobieta,7,48,4994
odmowa,11,1554.24,0,500,45,mê¿czyzna,150,48,0
windykacja_sp,12,1800,1,800,29,mê¿czyzna,5,5,262
odmowa,13,713.78,0,200,62,kobieta,26,48,0
splacona_cz,13,965,1,200,75,kobieta,242,48,1
splacona,11,2600,0,400,64,mê¿czyzna,132,48,0
splacona_cz,13,1239,1,300,77,kobieta,267,48,2
splacona_cz,16,1389,0,300,63,kobieta,88,48,0
splacona_cz,13,984,0,200,61,kobieta,8,48,0
splacona_cz,12,830.46,0,600,47,kobieta,42,29,1
splacona_cz,16,1340,1,500,63,kobieta,158,48,3
splacona,13,640,1,500,72,kobieta,136,48,1
splacona_cz,13,616,1,200,75,kobieta,243,48,0
splacona_cz,12,1009.34,0,300,55,kobieta,26,41,0
splacona_cz,16,703,1,200,57,kobieta,23,48,1
odmowa,11,1200,0,500,54,kobieta,25,48,0
splacona_cz,13,1426,1,300,71,mê¿czyzna,74,48,0
splacona,12,1300,1,417.53,25,mê¿czyzna,6,20,409
splacona_cz,11,2700,0,300,39,mê¿czyzna,6,48,0
splacona_cz,11,1700,1,300,54,mê¿czyzna,36,48,1
splacona_cz,13,1500,1,300,58,kobieta,43,48,1
splacona_cz,17,684,1,900,58,kobieta,187,22,1
splacona,11,2505,1,202.73,40,kobieta,161,48,1
splacona,98,3000,1,1500,57,mê¿czyzna,66,48,9
splacona,11,1300,1,600,54,kobieta,65,48,11
splacona_cz,12,1000,2,200,24,mê¿czyzna,9,16,0
splacona_cz,13,1000,1,500,60,kobieta,65,48,1
splacona_cz,11,1000,1,800,60,mê¿czyzna,60,48,0
splacona_cz,13,2421.55,1,1000,80,kobieta,242,48,0
splacona_cz,11,1172.2,1,400,56,kobieta,34,48,1
splacona_cz,11,1290,1,600,32,kobieta,16,48,1
splacona,11,2200,0,900,33,kobieta,34,48,0
odmowa,16,921.58,0,200,57,kobieta,18,48,0
splacona_cz,13,997,1,300,61,kobieta,76,48,1
odmowa,16,1279.58,0,400,64,kobieta,158,48,0
splacona,13,962,1,500,62,kobieta,62,48,15
splacona_cz,13,810,2,300,60,kobieta,30,48,8
splacona_cz,12,600,2,400,47,mê¿czyzna,6,21,0
splacona_cz,11,1680,1,300,57,kobieta,382,48,1
splacona,12,611.36,1,400,61,mê¿czyzna,0,3,280
splacona_cz,13,1189,1,265.58,62,kobieta,67,48,1
splacona_cz,13,1212,1,500,60,kobieta,51,48,1
splacona_cz,13,1137.19,1,400,66,kobieta,93,48,0
splacona,13,744.07,0,300,61,kobieta,10,48,1
splacona_cz,11,2100,0,300,45,mê¿czyzna,47,48,0
splacona_cz,13,1130,1,300,62,kobieta,100,48,0
splacona_cz,11,1510,1,900,58,mê¿czyzna,163,48,1
splacona_cz,13,802.83,1,200,65,kobieta,198,48,0
splacona_cz,16,655,1,500,53,kobieta,28,48,0
splacona_cz,13,1684,1,300,61,kobieta,17,48,0
splacona_cz,13,3600,0,1000,57,mê¿czyzna,83,48,0
splacona_cz,13,1428.55,1,235.97,66,kobieta,134,48,0
splacona_cz,12,990.34,0,200,46,kobieta,53,19,0
splacona_cz,11,5800,1,1000,47,kobieta,51,48,0
splacona_cz,13,1601.87,0,350,64,mê¿czyzna,42,48,0
splacona_cz,11,1400,1,200,49,mê¿czyzna,11,48,0
splacona,12,1210,0,200,52,mê¿czyzna,4,5,20
splacona_cz,13,940,1,300,69,mê¿czyzna,50,48,2
splacona_cz,17,1031,0,350,53,kobieta,48,12,0
splacona_cz,13,2612,0,1800,72,mê¿czyzna,79,48,5
splacona_cz,11,1800,1,300,33,mê¿czyzna,162,48,0
splacona_cz,16,634,0,200,58,kobieta,48,48,0
splacona_cz,13,1474.55,0,400,62,kobieta,62,48,0
splacona_cz,99,1393.85,0,200,29,mê¿czyzna,2,0,1
splacona_cz,13,1100,0,300,59,kobieta,40,48,0
splacona_cz,13,930,2,300,65,kobieta,128,48,0
splacona,13,1100,1,300,63,kobieta,102,48,20
splacona_cz,11,2800,1,600,49,kobieta,316,48,0
splacona_cz,11,2500,1,769.94,47,mê¿czyzna,201,48,8
splacona_cz,13,1700,1,500,72,mê¿czyzna,11,48,2
splacona,12,988,1,200,54,mê¿czyzna,6,6,12
splacona,13,1062,0,400,66,kobieta,159,48,15
splacona_cz,13,1503,1,400,61,mê¿czyzna,163,48,13
splacona,11,1300,1,400,53,kobieta,31,48,11
splacona_cz,12,1200,1,300,35,kobieta,6,8,1
splacona_cz,13,2098,1,700,75,mê¿czyzna,194,48,2
splacona,13,2291,2,1000,69,kobieta,68,48,14
splacona_cz,16,837,0,300,61,mê¿czyzna,228,48,0
odmowa,12,1040,0,250,34,kobieta,0,0,0
splacona_cz,13,730,0,200,72,kobieta,558,48,0
windykacja,12,1100,0,300,43,kobieta,12,17,4990
splacona_cz,11,1700,1,500,51,kobieta,303,48,4
windykacja_sp,11,2031,1,2000,56,mê¿czyzna,111,48,222
splacona_cz,13,1442.43,2,200,79,kobieta,138,48,0
splacona_cz,11,1360,2,200,46,mê¿czyzna,117,48,0
splacona_cz,12,1050,0,300,52,kobieta,31,5,0
splacona_cz,16,892,0,500,65,kobieta,198,48,0
splacona,12,1500,1,1130.33,48,kobieta,11,15,32
splacona_cz,13,850,1,400,66,kobieta,64,48,5
splacona_cz,12,2500,0,800,57,mê¿czyzna,2,1,4
splacona_cz,13,1350,0,300,65,kobieta,108,48,0
splacona_cz,11,1900,1,903.23,36,kobieta,176,48,6
splacona_cz,11,3200,1,700,52,mê¿czyzna,186,48,0
splacona_cz,11,2100,0,700,27,kobieta,20,48,0
